Logo url,option A,option B,option C,option D,correct_answer
https://avatars.githubusercontent.com/anyscale?s=200,Anyscale,Ray,Dask,Prefect,A
https://avatars.githubusercontent.com/cohere-ai?s=200,Cohere,Hugging Face Transformers,Chroma,Graphcore,A
https://avatars.githubusercontent.com/anthropics?s=200,Anthropic,TensorFlow,Qdrant,Weights & Biases,A
https://avatars.githubusercontent.com/google-research?s=200,Google Research,PyTorch,OpenAI Research,DVC,A
https://avatars.githubusercontent.com/google-deepmind?s=200,Google DeepMind,JAX,Databricks,Pachyderm,A
https://avatars.githubusercontent.com/meta-llama?s=200,Meta (LLaMA),Gorilla,Kaggle,Ray,A
https://avatars.githubusercontent.com/xai-org?s=200,XAI,vLLM,Google Cloud (Vertex AI),Dask,A
https://avatars.githubusercontent.com/modal-labs?s=200,Modal,Ollama,Azure ML,Dagster,A
https://avatars.githubusercontent.com/langchain-ai?s=200,LangChain,Unstructured,Timm,BaseTen,A
https://avatars.githubusercontent.com/gpt-engineer-org?s=200,GPT Engineer,Pinecone,Apache Spark,Runpod,A
https://avatars.githubusercontent.com/continuedev?s=200,Continue,Hugging Face Transformers,Chroma,Paperspace,A
https://avatars.githubusercontent.com/tensorflow?s=200,TensorFlow,Google Research,TensorFlow,Qdrant,A
https://avatars.githubusercontent.com/pytorch?s=200,PyTorch,Google DeepMind,PyTorch,OpenAI Research,A
https://avatars.githubusercontent.com/jax-ml?s=200,JAX,Meta (LLaMA),JAX,Databricks,A
https://avatars.githubusercontent.com/gorilla-llm?s=200,Gorilla,XAI,Gorilla,Kaggle,A
https://avatars.githubusercontent.com/vllm-project?s=200,vLLM,Together AI,vLLM,Google Cloud (Vertex AI),A
https://avatars.githubusercontent.com/ollama?s=200,Ollama,Steamship,Ollama,Azure ML,A
https://avatars.githubusercontent.com/unstructured-io?s=200,Unstructured,LlamaIndex,Unstructured,Timm,A
https://avatars.githubusercontent.com/weaviate?s=200,Weaviate,Open Interpreter,Weaviate,Intel AI,A
https://avatars.githubusercontent.com/milvus-io?s=200,Milvus,GPT Engineer,Milvus,NVIDIA,A
https://avatars.githubusercontent.com/pinecone-io?s=200,Pinecone,Continue,Pinecone,Apache Spark,A
https://avatars.githubusercontent.com/chroma-core?s=200,Chroma,Graphcore,Anthropic,Hugging Face Transformers,A
https://avatars.githubusercontent.com/qdrant?s=200,Qdrant,Weights & Biases,Google Research,TensorFlow,A
https://avatars.githubusercontent.com/databricks?s=200,Databricks,Pachyderm,Meta (LLaMA),JAX,A
https://avatars.githubusercontent.com/kaggle?s=200,Kaggle,Ray,XAI,Gorilla,A
https://avatars.githubusercontent.com/google?s=200,Google Cloud (Vertex AI),Dask,Together AI,vLLM,A
https://avatars.githubusercontent.com/aws?s=200,AWS SageMaker,Prefect,Modal,LiteLLM,A
https://avatars.githubusercontent.com/microsoft?s=200,Azure ML,Dagster,Steamship,Ollama,A
https://avatars.githubusercontent.com/clarifai?s=200,Clarifai,BentoML,LangChain,LocalAI,A
https://avatars.githubusercontent.com/intel?s=200,Intel AI,Seldon,Open Interpreter,Weaviate,A
https://avatars.githubusercontent.com/nvidia?s=200,NVIDIA,Replicate,GPT Engineer,Milvus,A
https://avatars.githubusercontent.com/apache?s=200,Apache Spark,Runpod,Continue,Pinecone,A
https://avatars.githubusercontent.com/scikit-learn?s=200,Scikit-Learn,Paperspace,Cerebras,Anthropic,A
https://avatars.githubusercontent.com/pandas-dev?s=200,Pandas,Graphcore,Neptune,Google Research,A
https://avatars.githubusercontent.com/numpy?s=200,NumPy,Weights & Biases,Pachyderm,Google DeepMind,A
https://avatars.githubusercontent.com/scipy?s=200,SciPy,DVC,DVC,Meta (LLaMA),A
https://avatars.githubusercontent.com/explosion?s=200,spaCy,Pachyderm,Dask,XAI,A
https://avatars.githubusercontent.com/nltk?s=200,NLTK,Ray,Ray,Together AI,A
https://avatars.githubusercontent.com/facebookresearch?s=200,Facebook AI Research,Dask,Airflow,Modal,A
https://avatars.githubusercontent.com/openai?s=200,OpenAI,Prefect,Airflow,Steamship,A
https://avatars.githubusercontent.com/keras-team?s=200,Keras,Dagster,Baseten,LangChain,A
https://avatars.githubusercontent.com/plotly?s=200,Plotly,BentoML,BentoML,LlamaIndex,A
https://avatars.githubusercontent.com/matplotlib?s=200,Matplotlib,BaseTen,BentoML,Open Interpreter,A
https://avatars.githubusercontent.com/jupyter?s=200,Jupyter,Replicate,Paperspace,Continue,A
https://avatars.githubusercontent.com/great-expectations?s=200,Great Expectations,TorchVision,Modal,FastText,A
https://avatars.githubusercontent.com/superwise-ai?s=200,Superwise,Gensim,LangChain,GPT Engineer,A
https://avatars.githubusercontent.com/arize-ai?s=200,Arize AI,Word2Vec,LlamaIndex,FastText,A
https://avatars.githubusercontent.com/h2oai?s=200,H2O AI,FastText,Open Interpreter,Together AI,A
https://avatars.githubusercontent.com/catboost?s=200,CatBoost,Librosa,Continue,Steamship,A
https://avatars.githubusercontent.com/autogluon?s=200,AutoGluon,TensorBoard,Paperspace,LlamaIndex,A
https://avatars.githubusercontent.com/optuna?s=200,Optuna,Hyperband,TorchVision,Open Interpreter,A
https://avatars.githubusercontent.com/ray-project?s=200,Ray Tune,Neptune AI,TorchText,GPT Engineer,A
https://avatars.githubusercontent.com/onnx?s=200,ONNX,Aim,Word2Vec,Cerebras,A
https://avatars.githubusercontent.com/opencv?s=200,OpenCV,Continue,Neptune AI,Together AI,A
https://avatars.githubusercontent.com/gensim?s=200,Gensim,Superwise,Dagster,Qdrant,A
https://avatars.githubusercontent.com/pyannote?s=200,Pyannote,XGBoost,Seldon,Kaggle,A
https://avatars.githubusercontent.com/librosa?s=200,Librosa,CatBoost,Replicate,Google Cloud (Vertex AI),A
https://avatars.githubusercontent.com/espnet?s=200,ESPnet,LightGBM,Runpod,AWS SageMaker,A
https://avatars.githubusercontent.com/optuna?s=200,Hyperband,Optuna,Graphcore,Clarifai,A
https://avatars.githubusercontent.com/neptune-ai?s=200,Neptune AI,Ray Tune,Weights & Biases,Timm,A
https://avatars.githubusercontent.com/comet-ml?s=200,Comet ML,Hyperopt,DVC,Intel AI,A
